detector,dataset,granularity,metric,value
mock,toy_det,__overall__,granularity_sensitivity_index,0.0
mock,toy_det,__overall__,normalized_gsi_to_standard,0.0
mock,toy_det,coarse,vocab_instability_cv,0.0
mock,toy_det,coarse,vocab_worst10_map,0.8455315160364846
mock,toy_det,coarse,vocab_median_map,0.8455315160364846
mock,toy_det,counterfactual,vocab_instability_cv,0.0
mock,toy_det,counterfactual,vocab_worst10_map,0.8455315160364846
mock,toy_det,counterfactual,vocab_median_map,0.8455315160364846
mock,toy_det,fine,vocab_instability_cv,0.0
mock,toy_det,fine,vocab_worst10_map,0.8455315160364846
mock,toy_det,fine,vocab_median_map,0.8455315160364846
mock,toy_det,mixed,vocab_instability_cv,0.0
mock,toy_det,mixed,vocab_worst10_map,0.8455315160364846
mock,toy_det,mixed,vocab_median_map,0.8455315160364846
mock,toy_det,standard,vocab_instability_cv,0.0
mock,toy_det,standard,vocab_worst10_map,0.8455315160364846
mock,toy_det,standard,vocab_median_map,0.8455315160364846
