detector,dataset,granularity,strategy,alpha,ucb_method,delta,mean_test_risk,mean_test_coverage,target_met_rate,mean_guarantee_margin,worst_group_target_met_rate,worst_group_test_risk
mock,toy_det,coarse,flat,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.95,,
mock,toy_det,coarse,flat,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,,
mock,toy_det,coarse,flat,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.7999999999999999,,
mock,toy_det,coarse,groupwise,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.95,0.0,1.0
mock,toy_det,coarse,groupwise,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,0.0,1.0
mock,toy_det,coarse,groupwise,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.7999999999999999,0.0,1.0
mock,toy_det,coarse,hierarchy,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.95,,
mock,toy_det,coarse,hierarchy,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,,
mock,toy_det,coarse,hierarchy,0.2,clopper_pearson,0.05,0.8610264227642276,0.1156966490299823,0.1666666666666666,-0.665785238224078,,
mock,toy_det,counterfactual,flat,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.9499999999999998,,
mock,toy_det,counterfactual,flat,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,,
mock,toy_det,counterfactual,flat,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.8000000000000002,,
mock,toy_det,counterfactual,groupwise,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.9499999999999998,0.0,1.0
mock,toy_det,counterfactual,groupwise,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,0.0,1.0
mock,toy_det,counterfactual,groupwise,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.8000000000000002,0.0,1.0
mock,toy_det,counterfactual,hierarchy,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.9499999999999998,,
mock,toy_det,counterfactual,hierarchy,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,,
mock,toy_det,counterfactual,hierarchy,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.8000000000000002,,
mock,toy_det,fine,flat,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.95,,
mock,toy_det,fine,flat,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,,
mock,toy_det,fine,flat,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.7999999999999999,,
mock,toy_det,fine,groupwise,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.95,0.0,1.0
mock,toy_det,fine,groupwise,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,0.0,1.0
mock,toy_det,fine,groupwise,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.7999999999999999,0.0,1.0
mock,toy_det,fine,hierarchy,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.95,,
mock,toy_det,fine,hierarchy,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,,
mock,toy_det,fine,hierarchy,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.7999999999999999,,
mock,toy_det,mixed,flat,0.05,clopper_pearson,0.05,0.6666666666666666,0.1121509209744503,0.3333333333333333,-0.6245683932644276,,
mock,toy_det,mixed,flat,0.1,clopper_pearson,0.05,0.3448681018799271,0.1692730542270638,0.6666666666666666,-0.2748650778115828,,
mock,toy_det,mixed,flat,0.2,clopper_pearson,0.05,0.434734192020832,0.2689756537670224,0.5,-0.2460482769040385,,
mock,toy_det,mixed,groupwise,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.95,0.0,1.0
mock,toy_det,mixed,groupwise,0.1,clopper_pearson,0.05,0.8436426116838488,0.0720439691027926,0.1666666666666666,-0.7467607058206728,0.1666666666666666,0.8470695970695971
mock,toy_det,mixed,groupwise,0.2,clopper_pearson,0.05,0.7070296831127156,0.1840463458110517,0.3333333333333333,-0.5294821146856422,0.3333333333333333,0.7105708932558796
mock,toy_det,mixed,hierarchy,0.05,clopper_pearson,0.05,0.6666666666666666,0.1121509209744503,0.3333333333333333,-0.6245683932644276,,
mock,toy_det,mixed,hierarchy,0.1,clopper_pearson,0.05,0.3448681018799271,0.1692730542270638,0.6666666666666666,-0.2748650778115828,,
mock,toy_det,mixed,hierarchy,0.2,clopper_pearson,0.05,0.434734192020832,0.2689756537670224,0.5,-0.2460482769040385,,
mock,toy_det,standard,flat,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.95,,
mock,toy_det,standard,flat,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,,
mock,toy_det,standard,flat,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.7999999999999999,,
mock,toy_det,standard,groupwise,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.95,0.0,1.0
mock,toy_det,standard,groupwise,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,0.0,1.0
mock,toy_det,standard,groupwise,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.7999999999999999,0.0,1.0
mock,toy_det,standard,hierarchy,0.05,clopper_pearson,0.05,1.0,0.0,0.0,-0.95,,
mock,toy_det,standard,hierarchy,0.1,clopper_pearson,0.05,1.0,0.0,0.0,-0.9,,
mock,toy_det,standard,hierarchy,0.2,clopper_pearson,0.05,1.0,0.0,0.0,-0.7999999999999999,,
