detector,dataset,granularity,vocab_id,strategy,alpha,selected_threshold,calib_ucb_risk,calib_coverage,test_achieved_risk,test_achieved_coverage,test_num_kept,test_num_errors
mock,toy_det,coarse,0fc72fe0581d,flat,0.1,1.0,1.0,0.0,1.0,0.0,0,0
mock,toy_det,coarse,0fc72fe0581d,flat,0.2,1.0,1.0,0.0,1.0,0.0,0,0
mock,toy_det,coarse,0fc72fe0581d,hierarchy,0.1,1.0,1.0,0.0,1.0,0.0,0,0
mock,toy_det,coarse,0fc72fe0581d,hierarchy,0.2,1.0,1.0,0.0,1.0,0.0,0,0
mock,toy_det,coarse,1dff153c87c3,flat,0.1,1.0,1.0,0.0,1.0,0.0,0,0
mock,toy_det,coarse,1dff153c87c3,flat,0.2,1.0,1.0,0.0,1.0,0.0,0,0
mock,toy_det,coarse,1dff153c87c3,hierarchy,0.1,1.0,1.0,0.0,1.0,0.0,0,0
mock,toy_det,coarse,1dff153c87c3,hierarchy,0.2,1.0,1.0,0.0,1.0,0.0,0,0
mock,toy_det,fine,14e2bfec98a1,flat,0.1,1.0,1.0,0.0,1.0,0.0,0,0
mock,toy_det,fine,14e2bfec98a1,flat,0.2,1.0,1.0,0.0,1.0,0.0,0,0
mock,toy_det,fine,14e2bfec98a1,hierarchy,0.1,1.0,1.0,0.0,1.0,0.0,0,0
mock,toy_det,fine,14e2bfec98a1,hierarchy,0.2,1.0,1.0,0.0,1.0,0.0,0,0
mock,toy_det,mixed,0543f0e26ca1,flat,0.1,1.0,1.0,0.0,1.0,0.0,0,0
mock,toy_det,mixed,0543f0e26ca1,flat,0.2,1.0,1.0,0.0,1.0,0.0,0,0
mock,toy_det,mixed,0543f0e26ca1,hierarchy,0.1,1.0,1.0,0.0,1.0,0.0,0,0
mock,toy_det,mixed,0543f0e26ca1,hierarchy,0.2,1.0,1.0,0.0,1.0,0.0,0,0
mock,toy_det,mixed,189cca78d422,flat,0.1,1.0,1.0,0.0,1.0,0.0,0,0
mock,toy_det,mixed,189cca78d422,flat,0.2,1.0,1.0,0.0,1.0,0.0,0,0
mock,toy_det,mixed,189cca78d422,hierarchy,0.1,1.0,1.0,0.0,1.0,0.0,0,0
mock,toy_det,mixed,189cca78d422,hierarchy,0.2,1.0,1.0,0.0,1.0,0.0,0,0
mock,toy_det,standard,df6d273a01d3,flat,0.1,1.0,1.0,0.0,1.0,0.0,0,0
mock,toy_det,standard,df6d273a01d3,flat,0.2,1.0,1.0,0.0,1.0,0.0,0,0
mock,toy_det,standard,df6d273a01d3,hierarchy,0.1,1.0,1.0,0.0,1.0,0.0,0,0
mock,toy_det,standard,df6d273a01d3,hierarchy,0.2,1.0,1.0,0.0,1.0,0.0,0,0
