detector,dataset,granularity,vocab_id,strategy,threshold,risk,coverage,ucb_risk,num_kept
mock,toy_det,coarse,1dff153c87c3,flat,0.4750490979871089,1.0,1.0,1.0,14
mock,toy_det,coarse,1dff153c87c3,flat,0.4785384613139802,1.0,0.5,1.0,7
mock,toy_det,coarse,1dff153c87c3,flat,0.6425385376769394,1.0,0.5,1.0,7
mock,toy_det,coarse,1dff153c87c3,flat,0.6460279010038107,1.0,0.5,1.0,7
mock,toy_det,coarse,1dff153c87c3,flat,1.0,1.0,0.0,1.0,0
mock,toy_det,coarse,1dff153c87c3,hierarchy,0.4750490979871089,1.0,1.0,1.0,14
mock,toy_det,coarse,1dff153c87c3,hierarchy,0.4785384613139802,1.0,0.5,1.0,7
mock,toy_det,coarse,1dff153c87c3,hierarchy,0.6425385376769394,1.0,0.5,1.0,7
mock,toy_det,coarse,1dff153c87c3,hierarchy,0.6460279010038107,1.0,0.5,1.0,7
mock,toy_det,coarse,1dff153c87c3,hierarchy,1.0,1.0,0.0,1.0,0
mock,toy_det,coarse,2b5ea2c24c5b,flat,0.4243842321803803,1.0,1.0,1.0,21
mock,toy_det,coarse,2b5ea2c24c5b,flat,0.4331483718035819,1.0,0.6666666666666666,1.0,14
mock,toy_det,coarse,2b5ea2c24c5b,flat,0.4721001034622564,1.0,0.6666666666666666,1.0,14
mock,toy_det,coarse,2b5ea2c24c5b,flat,0.6082807108872417,1.0,0.3333333333333333,1.0,7
mock,toy_det,coarse,2b5ea2c24c5b,flat,0.6389213475578636,1.0,0.3333333333333333,1.0,7
mock,toy_det,coarse,2b5ea2c24c5b,flat,1.0,1.0,0.0,1.0,0
mock,toy_det,coarse,2b5ea2c24c5b,hierarchy,0.4243842321803803,1.0,1.0,1.0,21
mock,toy_det,coarse,2b5ea2c24c5b,hierarchy,0.4331483718035819,1.0,0.6666666666666666,1.0,14
mock,toy_det,coarse,2b5ea2c24c5b,hierarchy,0.4721001034622564,1.0,0.6666666666666666,1.0,14
mock,toy_det,coarse,2b5ea2c24c5b,hierarchy,0.6082807108872417,1.0,0.3333333333333333,1.0,7
mock,toy_det,coarse,2b5ea2c24c5b,hierarchy,0.6389213475578636,1.0,0.3333333333333333,1.0,7
mock,toy_det,coarse,2b5ea2c24c5b,hierarchy,1.0,1.0,0.0,1.0,0
mock,toy_det,fine,6e90290caaca,flat,0.1290089349997138,1.0,1.0,1.0,42
mock,toy_det,fine,6e90290caaca,flat,0.14107576905420988,1.0,0.8333333333333334,1.0,35
mock,toy_det,fine,6e90290caaca,flat,0.163789809627379,1.0,0.8333333333333334,1.0,35
mock,toy_det,fine,6e90290caaca,flat,0.3144455842645535,1.0,0.6666666666666666,1.0,28
